sp|E7S4M0|CSN2_STRA8
tr|E7S6W6|E7S6W6_STRA8	K09816
tr|E7S3J0|E7S3J0_STRA8	K02520
tr|E7S792|E7S792_STRA8
tr|E7S1E7|E7S1E7_STRA8
tr|E7S521|E7S521_STRA8	K00793
tr|E7S5G7|E7S5G7_STRA8
tr|E7S398|E7S398_STRA8
tr|E7S469|E7S469_STRA8
tr|E7S3K7|E7S3K7_STRA8
tr|E7S499|E7S499_STRA8	K01938
tr|E7S4S0|E7S4S0_STRA8	K07058
tr|E7S572|E7S572_STRA8	K00874
tr|E7S3C8|E7S3C8_STRA8	K03574
tr|E7S3Q1|E7S3Q1_STRA8
tr|E7S556|E7S556_STRA8
tr|E7S6M4|E7S6M4_STRA8
tr|E7S1C0|E7S1C0_STRA8
tr|E7S1P1|E7S1P1_STRA8
tr|E7S1Y9|E7S1Y9_STRA8	K01819
tr|E7S2B4|E7S2B4_STRA8
tr|E7S4K6|E7S4K6_STRA8	K01990
tr|E7S226|E7S226_STRA8	K01881
tr|E7S230|E7S230_STRA8	K07078
tr|E7S2H0|E7S2H0_STRA8
tr|E7S675|E7S675_STRA8
tr|E7S1K2|E7S1K2_STRA8
tr|E7S5W8|E7S5W8_STRA8
tr|E7S729|E7S729_STRA8	K07260
tr|E7S1W7|E7S1W7_STRA8	K20113
tr|E7S6B0|E7S6B0_STRA8
tr|E7S6H6|E7S6H6_STRA8
tr|E7S650|E7S650_STRA8	K02519
tr|E7S1Q2|E7S1Q2_STRA8	K03742
tr|E7S1R4|E7S1R4_STRA8	K01876
tr|E7S6X5|E7S6X5_STRA8	K15580
tr|E7S5K8|E7S5K8_STRA8
tr|E7S6L1|E7S6L1_STRA8
tr|E7S176|E7S176_STRA8
tr|E7S1U3|E7S1U3_STRA8	K07707
tr|E7S3W9|E7S3W9_STRA8	K05833
tr|E7S1S7|E7S1S7_STRA8
tr|E7S6J5|E7S6J5_STRA8
tr|E7S7C1|E7S7C1_STRA8	K00817
tr|E7S746|E7S746_STRA8	K03076
tr|E7S2F4|E7S2F4_STRA8	K07045
tr|E7S4R0|E7S4R0_STRA8	K02110
tr|E7S2Q7|E7S2Q7_STRA8	K00014
tr|E7S4A1|E7S4A1_STRA8	K06131
tr|E7S546|E7S546_STRA8	K09790
tr|E7S4Z3|E7S4Z3_STRA8	K02072
tr|E7S340|E7S340_STRA8	K01515
tr|E7S3Q0|E7S3Q0_STRA8
tr|E7S6W9|E7S6W9_STRA8	K00919
tr|E7S1J9|E7S1J9_STRA8
tr|E7S5G8|E7S5G8_STRA8	K02884
tr|E7S6S7|E7S6S7_STRA8
tr|E7S465|E7S465_STRA8	K00625
tr|E7S4Y3|E7S4Y3_STRA8
tr|E7S3H2|E7S3H2_STRA8	K19302
tr|E7S6M1|E7S6M1_STRA8
tr|E7S6C2|E7S6C2_STRA8	K01992
tr|E7S2W0|E7S2W0_STRA8	K07040
tr|E7S7F8|E7S7F8_STRA8
tr|E7S4L3|E7S4L3_STRA8
tr|E7S3J2|E7S3J2_STRA8	K02887
tr|E7S4X4|E7S4X4_STRA8	K03299
tr|E7S5C4|E7S5C4_STRA8
tr|E7S3C3|E7S3C3_STRA8
tr|E7S435|E7S435_STRA8
tr|E7S3V4|E7S3V4_STRA8
tr|E7S4A6|E7S4A6_STRA8
tr|E7S3Z0|E7S3Z0_STRA8
tr|E7S5D5|E7S5D5_STRA8
tr|E7S5K7|E7S5K7_STRA8	K01869
tr|E7S5S4|E7S5S4_STRA8	K03183
tr|E7S6C5|E7S6C5_STRA8	K07173
tr|E7S7D1|E7S7D1_STRA8
tr|E7S1S9|E7S1S9_STRA8
tr|E7S1Z7|E7S1Z7_STRA8
tr|E7S2V1|E7S2V1_STRA8	K07862
tr|E7S5E9|E7S5E9_STRA8	K01079
tr|E7S6V0|E7S6V0_STRA8	K00925
tr|E7S1Q5|E7S1Q5_STRA8	K08152
tr|E7S5H0|E7S5H0_STRA8
tr|E7S7E3|E7S7E3_STRA8
tr|E7S619|E7S619_STRA8
tr|E7S795|E7S795_STRA8	K02025
tr|E7S2G8|E7S2G8_STRA8	K03367
tr|E7S5S8|E7S5S8_STRA8
tr|E7S7B3|E7S7B3_STRA8
tr|E7S277|E7S277_STRA8
tr|E7S5G3|E7S5G3_STRA8
tr|E7S1X9|E7S1X9_STRA8	K00558
tr|E7S7G4|E7S7G4_STRA8	K07052
tr|E7S5T6|E7S5T6_STRA8
tr|E7S228|E7S228_STRA8	K03763
tr|E7S7E0|E7S7E0_STRA8
tr|E7S2A4|E7S2A4_STRA8
tr|E7S6I4|E7S6I4_STRA8
tr|E7S1P0|E7S1P0_STRA8	K04068
tr|E7S263|E7S263_STRA8
tr|E7S1I7|E7S1I7_STRA8
tr|E7S1L1|E7S1L1_STRA8
tr|E7S1W0|E7S1W0_STRA8	K01119
tr|E7S691|E7S691_STRA8	K00928
tr|E7S7C0|E7S7C0_STRA8
tr|E7S770|E7S770_STRA8	K13953
tr|E7S667|E7S667_STRA8
tr|E7S6Y8|E7S6Y8_STRA8	K17076
tr|E7S276|E7S276_STRA8
tr|E7S2G2|E7S2G2_STRA8	K02001
tr|E7S2G2|E7S2G2_STRA8	K02002
tr|E7S2J9|E7S2J9_STRA8	K00425
tr|E7S531|E7S531_STRA8	K13292
tr|E7S2S6|E7S2S6_STRA8	K00969
tr|E7S461|E7S461_STRA8
tr|E7S534|E7S534_STRA8
tr|E7S1J6|E7S1J6_STRA8	K06966
tr|E7S162|E7S162_STRA8	K03723
tr|E7S3Z3|E7S3Z3_STRA8
tr|E7S3C9|E7S3C9_STRA8	K03305
tr|E7S550|E7S550_STRA8
tr|E7S603|E7S603_STRA8
tr|E7S6A3|E7S6A3_STRA8
tr|E7S761|E7S761_STRA8	K02890
tr|E7S1A2|E7S1A2_STRA8	K00566
tr|E7S1Q7|E7S1Q7_STRA8	K03704
tr|E7S2K4|E7S2K4_STRA8
tr|E7S2N4|E7S2N4_STRA8
tr|E7S455|E7S455_STRA8
tr|E7S4K8|E7S4K8_STRA8
tr|E7S372|E7S372_STRA8	K07042
tr|E7S419|E7S419_STRA8
tr|E7S704|E7S704_STRA8	K06726
tr|E7S2L3|E7S2L3_STRA8
tr|E7S4R7|E7S4R7_STRA8	K01972
tr|E7S7E9|E7S7E9_STRA8
tr|E7S1E9|E7S1E9_STRA8
tr|E7S5F7|E7S5F7_STRA8
tr|E7S3S7|E7S3S7_STRA8
tr|E7S4B8|E7S4B8_STRA8
tr|E7S1F4|E7S1F4_STRA8
tr|E7S3W1|E7S3W1_STRA8
tr|E7S6Q1|E7S6Q1_STRA8
tr|E7S6Y6|E7S6Y6_STRA8
tr|E7S2V9|E7S2V9_STRA8	K03799
tr|E7S2U6|E7S2U6_STRA8
tr|E7S3N4|E7S3N4_STRA8
tr|E7S3X1|E7S3X1_STRA8
tr|E7S4K3|E7S4K3_STRA8	K00850
tr|E7S517|E7S517_STRA8	K07025
tr|E7S311|E7S311_STRA8
tr|E7S3U3|E7S3U3_STRA8	K00791
tr|E7S434|E7S434_STRA8	K05020
tr|E7S4M3|E7S4M3_STRA8	K09952
tr|E7S5I2|E7S5I2_STRA8	K16923
tr|E7S5V1|E7S5V1_STRA8	K02348
tr|E7S661|E7S661_STRA8
tr|E7S7E2|E7S7E2_STRA8
tr|E7S1N6|E7S1N6_STRA8	K01989
tr|E7S6Y1|E7S6Y1_STRA8	K09015
tr|E7S240|E7S240_STRA8
tr|E7S1Y6|E7S1Y6_STRA8	K04751
tr|E7S5F9|E7S5F9_STRA8
tr|E7S254|E7S254_STRA8
tr|E7S5F6|E7S5F6_STRA8
tr|E7S236|E7S236_STRA8	K02793
tr|E7S236|E7S236_STRA8	K02794
tr|E7S1A3|E7S1A3_STRA8	K05595
tr|E7S7C5|E7S7C5_STRA8
tr|E7S1M8|E7S1M8_STRA8	K00757
tr|E7S6H8|E7S6H8_STRA8
tr|E7S1A6|E7S1A6_STRA8	K02939
tr|E7S750|E7S750_STRA8	K02881
tr|E7S6P2|E7S6P2_STRA8
tr|E7S2B0|E7S2B0_STRA8
tr|E7S739|E7S739_STRA8	K02879
tr|E7S701|E7S701_STRA8	K02004
tr|E7S664|E7S664_STRA8	K06925
tr|E7S6P0|E7S6P0_STRA8	K01153
tr|E7S794|E7S794_STRA8	K02026
tr|E7S3L7|E7S3L7_STRA8	K02959
tr|E7S6N4|E7S6N4_STRA8
tr|E7S3H9|E7S3H9_STRA8	K02015
tr|E7S4W7|E7S4W7_STRA8	K06183
tr|E7S4D6|E7S4D6_STRA8	K02015
tr|E7S6F0|E7S6F0_STRA8
tr|E7S743|E7S743_STRA8	K02919
tr|E7S2R8|E7S2R8_STRA8	K01006
tr|E7S172|E7S172_STRA8	K04771
tr|E7S1N1|E7S1N1_STRA8
tr|E7S3S6|E7S3S6_STRA8	K02003
tr|E7S5Z7|E7S5Z7_STRA8
tr|E7S6U5|E7S6U5_STRA8
tr|E7S1A0|E7S1A0_STRA8	K01752
tr|E7S1X5|E7S1X5_STRA8	K00917
tr|E7S2W6|E7S2W6_STRA8	K03977
tr|E7S4R8|E7S4R8_STRA8
tr|E7S4W9|E7S4W9_STRA8	K02564
tr|E7S197|E7S197_STRA8	K16785
tr|E7S4V3|E7S4V3_STRA8
tr|E7S4Z5|E7S4Z5_STRA8
tr|E7S433|E7S433_STRA8	K00135
tr|E7S6V5|E7S6V5_STRA8
tr|E7S1B3|E7S1B3_STRA8
tr|E7S2A2|E7S2A2_STRA8	K07386
tr|E7S323|E7S323_STRA8	K16868
tr|E7S6N5|E7S6N5_STRA8
tr|E7S6T1|E7S6T1_STRA8	K02031
tr|E7S1E2|E7S1E2_STRA8	K00611
tr|E7S156|E7S156_STRA8	K00760
tr|E7S2K9|E7S2K9_STRA8	K02440
tr|E7S6Q0|E7S6Q0_STRA8
tr|E7S1T2|E7S1T2_STRA8	K09761
tr|E7S3Y9|E7S3Y9_STRA8
tr|E7S3G0|E7S3G0_STRA8
tr|E7S4C2|E7S4C2_STRA8	K03466
tr|E7S345|E7S345_STRA8
tr|E7S424|E7S424_STRA8	K07024
tr|E7S3R6|E7S3R6_STRA8
tr|E7S6C7|E7S6C7_STRA8	K07444
tr|E7S734|E7S734_STRA8
tr|E7S1F7|E7S1F7_STRA8
tr|E7S284|E7S284_STRA8
tr|E7S2H6|E7S2H6_STRA8	K03424
tr|E7S659|E7S659_STRA8
tr|E7S405|E7S405_STRA8	K00826
tr|E7S359|E7S359_STRA8
tr|E7S563|E7S563_STRA8	K01271
tr|E7S241|E7S241_STRA8
tr|E7S611|E7S611_STRA8
tr|E7S6Y0|E7S6Y0_STRA8	K11717
tr|E7S2F0|E7S2F0_STRA8	K02525
tr|E7S3Z1|E7S3Z1_STRA8
tr|E7S787|E7S787_STRA8
tr|E7S7D9|E7S7D9_STRA8
tr|E7S5Y8|E7S5Y8_STRA8
tr|E7S6H1|E7S6H1_STRA8
tr|E7S3S8|E7S3S8_STRA8
tr|E7S2X9|E7S2X9_STRA8	K06950
tr|E7S765|E7S765_STRA8	K02926
tr|E7S260|E7S260_STRA8
tr|E7S5J1|E7S5J1_STRA8	K09812
tr|E7S1T7|E7S1T7_STRA8	K02036
tr|E7S3S9|E7S3S9_STRA8
tr|E7S4W6|E7S4W6_STRA8
tr|E7S1K0|E7S1K0_STRA8
tr|E7S4K0|E7S4K0_STRA8	K00820
tr|E7S5A7|E7S5A7_STRA8	K20490
tr|E7S265|E7S265_STRA8
tr|E7S361|E7S361_STRA8	K10824
tr|E7S3M9|E7S3M9_STRA8	K02768
tr|E7S3M9|E7S3M9_STRA8	K02769
tr|E7S3M9|E7S3M9_STRA8	K02770
tr|E7S3U7|E7S3U7_STRA8	K07124
tr|E7S5R9|E7S5R9_STRA8
tr|E7S298|E7S298_STRA8	K01462
tr|E7S6H0|E7S6H0_STRA8
tr|E7S3M0|E7S3M0_STRA8	K02860
tr|E7S4E3|E7S4E3_STRA8	K02003
tr|E7S4I1|E7S4I1_STRA8
tr|E7S6M5|E7S6M5_STRA8
tr|E7S736|E7S736_STRA8
tr|E7S679|E7S679_STRA8	K01961
tr|E7S6T9|E7S6T9_STRA8
tr|E7S223|E7S223_STRA8	K00806
tr|E7S4Q4|E7S4Q4_STRA8	K02112
tr|E7S6J2|E7S6J2_STRA8
tr|E7S253|E7S253_STRA8
tr|E7S2L4|E7S2L4_STRA8	K00656
tr|E7S4N0|E7S4N0_STRA8	K03431
tr|E7S243|E7S243_STRA8
tr|E7S6L7|E7S6L7_STRA8
tr|E7S1Z8|E7S1Z8_STRA8	K01784
tr|E7S6K9|E7S6K9_STRA8
tr|E7S3D9|E7S3D9_STRA8
tr|E7S495|E7S495_STRA8
tr|E7S3K0|E7S3K0_STRA8
tr|E7S2M2|E7S2M2_STRA8	K07456
tr|E7S375|E7S375_STRA8
tr|E7S3T6|E7S3T6_STRA8
tr|E7S399|E7S399_STRA8	K19689
tr|E7S2T2|E7S2T2_STRA8
tr|E7S3C6|E7S3C6_STRA8
tr|E7S6X6|E7S6X6_STRA8	K07258
tr|E7S709|E7S709_STRA8
tr|E7S195|E7S195_STRA8	K16786
tr|E7S4D4|E7S4D4_STRA8	K00661
tr|E7S3G4|E7S3G4_STRA8	K03100
tr|E7S414|E7S414_STRA8
tr|E7S571|E7S571_STRA8	K01195
tr|E7S678|E7S678_STRA8	K01963
tr|E7S6E0|E7S6E0_STRA8
tr|E7S6S5|E7S6S5_STRA8	K03475
tr|E7S699|E7S699_STRA8	K00656
tr|E7S6V6|E7S6V6_STRA8
tr|E7S7B7|E7S7B7_STRA8	K20344
tr|E7S3F1|E7S3F1_STRA8
tr|E7S4E7|E7S4E7_STRA8
tr|E7S559|E7S559_STRA8	K19002
tr|E7S3G1|E7S3G1_STRA8	K12990
tr|E7S2J1|E7S2J1_STRA8	K00927
tr|E7S5A3|E7S5A3_STRA8
tr|E7S2H5|E7S2H5_STRA8
tr|E7S280|E7S280_STRA8
tr|E7S6I9|E7S6I9_STRA8
tr|E7S3Y7|E7S3Y7_STRA8
tr|E7S364|E7S364_STRA8	K00243
tr|E7S3I3|E7S3I3_STRA8	K01928
tr|E7S5R5|E7S5R5_STRA8
tr|E7S1Y0|E7S1Y0_STRA8
tr|E7S683|E7S683_STRA8	K00059
tr|E7S4B9|E7S4B9_STRA8
tr|E7S4E6|E7S4E6_STRA8
tr|E7S7D6|E7S7D6_STRA8	K00986
tr|E7S1U4|E7S1U4_STRA8
tr|E7S413|E7S413_STRA8	K02824
tr|E7S5Y2|E7S5Y2_STRA8
tr|E7S163|E7S163_STRA8	K01056
tr|E7S2E7|E7S2E7_STRA8	K03082
tr|E7S2R7|E7S2R7_STRA8	K01006
tr|E7S4L9|E7S4L9_STRA8
tr|E7S544|E7S544_STRA8	K03529
tr|E7S374|E7S374_STRA8	K03595
tr|E7S5U9|E7S5U9_STRA8
tr|E7S3I6|E7S3I6_STRA8
tr|E7S507|E7S507_STRA8	K03588
tr|E7S6A4|E7S6A4_STRA8
tr|E7S2H2|E7S2H2_STRA8
tr|E7S578|E7S578_STRA8	K02069
tr|E7S6H5|E7S6H5_STRA8
tr|E7S6S8|E7S6S8_STRA8	K01226
tr|E7S797|E7S797_STRA8	K01788
tr|E7S2M3|E7S2M3_STRA8
tr|E7S3A7|E7S3A7_STRA8	K03702
tr|E7S2K5|E7S2K5_STRA8	K01281
tr|E7S3B2|E7S3B2_STRA8
tr|E7S319|E7S319_STRA8
tr|E7S773|E7S773_STRA8
tr|E7S4P5|E7S4P5_STRA8	K07054
tr|E7S685|E7S685_STRA8	K02371
tr|E7S6A8|E7S6A8_STRA8	K11618
tr|E7S3V5|E7S3V5_STRA8	K00973
tr|E7S6I0|E7S6I0_STRA8
tr|E7S283|E7S283_STRA8
tr|E7S308|E7S308_STRA8	K02341
tr|E7S4Q8|E7S4Q8_STRA8	K02109
tr|E7S780|E7S780_STRA8
tr|E7S1S5|E7S1S5_STRA8
tr|E7S300|E7S300_STRA8
tr|E7S3J4|E7S3J4_STRA8	K06969
tr|E7S4X8|E7S4X8_STRA8	K02755
tr|E7S4X8|E7S4X8_STRA8	K02756
tr|E7S4X8|E7S4X8_STRA8	K02757
tr|E7S1V6|E7S1V6_STRA8
tr|E7S6V3|E7S6V3_STRA8
tr|E7S1T6|E7S1T6_STRA8	K02038
tr|E7S2T8|E7S2T8_STRA8	K05879
tr|E7S3J5|E7S3J5_STRA8	K03785
tr|E7S4L0|E7S4L0_STRA8
tr|E7S5Y9|E7S5Y9_STRA8
tr|E7S5Z8|E7S5Z8_STRA8
tr|E7S233|E7S233_STRA8	K00874
tr|E7S612|E7S612_STRA8
tr|E7S5M1|E7S5M1_STRA8	K03530
tr|E7S1V4|E7S1V4_STRA8
tr|E7S378|E7S378_STRA8
tr|E7S4D1|E7S4D1_STRA8
tr|E7S522|E7S522_STRA8	K11752
tr|E7S1I3|E7S1I3_STRA8
tr|E7S6E9|E7S6E9_STRA8	K02755
tr|E7S6E9|E7S6E9_STRA8	K02756
tr|E7S6E9|E7S6E9_STRA8	K02757
tr|E7S6X9|E7S6X9_STRA8	K04488
tr|E7S1S6|E7S1S6_STRA8
tr|E7S5A5|E7S5A5_STRA8
tr|E7S602|E7S602_STRA8
tr|E7S3Z7|E7S3Z7_STRA8	K18429
tr|E7S3M7|E7S3M7_STRA8	K03436
tr|E7S328|E7S328_STRA8
tr|E7S1I6|E7S1I6_STRA8
tr|E7S287|E7S287_STRA8
tr|E7S365|E7S365_STRA8	K07304
tr|E7S1P3|E7S1P3_STRA8
tr|E7S5H9|E7S5H9_STRA8	K06958
tr|E7S1U7|E7S1U7_STRA8
tr|E7S356|E7S356_STRA8	K02863
tr|E7S6U7|E7S6U7_STRA8	K00286
tr|E7S5Y7|E7S5Y7_STRA8	K00986
tr|E7S3R8|E7S3R8_STRA8	K03978
tr|E7S4M2|E7S4M2_STRA8
tr|E7S1H5|E7S1H5_STRA8
tr|E7S6I8|E7S6I8_STRA8
tr|E7S191|E7S191_STRA8
tr|E7S2Z3|E7S2Z3_STRA8	K03498
tr|E7S693|E7S693_STRA8	K02242
tr|E7S1N2|E7S1N2_STRA8	K04077
tr|E7S5H1|E7S5H1_STRA8
tr|E7S649|E7S649_STRA8	K02834
tr|E7S1Q3|E7S1Q3_STRA8	K01246
tr|E7S5J7|E7S5J7_STRA8	K04074
tr|E7S7A7|E7S7A7_STRA8	K02078
tr|E7S789|E7S789_STRA8
tr|E7S749|E7S749_STRA8	K02988
tr|E7S1P4|E7S1P4_STRA8
tr|E7S357|E7S357_STRA8	K15584
tr|E7S3J6|E7S3J6_STRA8	K01735
tr|E7S3R0|E7S3R0_STRA8
tr|E7S514|E7S514_STRA8	K00329
tr|E7S514|E7S514_STRA8	K00356
tr|E7S5W1|E7S5W1_STRA8
tr|E7S186|E7S186_STRA8	K03402
tr|E7S2V4|E7S2V4_STRA8	K16785
tr|E7S6S3|E7S6S3_STRA8	K00615
tr|E7S725|E7S725_STRA8	K04043
tr|E7S2H7|E7S2H7_STRA8
tr|E7S329|E7S329_STRA8
tr|E7S4F6|E7S4F6_STRA8	K02037
tr|E7S1B6|E7S1B6_STRA8
tr|E7S2Q8|E7S2Q8_STRA8	K01424
tr|E7S2E1|E7S2E1_STRA8
tr|E7S6V4|E7S6V4_STRA8
tr|E7S2F5|E7S2F5_STRA8	K00880
tr|E7S2S7|E7S2S7_STRA8
tr|E7S2M4|E7S2M4_STRA8	K03671
tr|E7S5G9|E7S5G9_STRA8
tr|E7S234|E7S234_STRA8
tr|E7S3R2|E7S3R2_STRA8	K00054
tr|E7S6F4|E7S6F4_STRA8
tr|E7S2Q1|E7S2Q1_STRA8	K01626
tr|E7S6P3|E7S6P3_STRA8
tr|E7S7F3|E7S7F3_STRA8
tr|E7S1H7|E7S1H7_STRA8
tr|E7S498|E7S498_STRA8	K03800
tr|E7S3W0|E7S3W0_STRA8	K03574
tr|E7S3Z4|E7S3Z4_STRA8
tr|E7S2T4|E7S2T4_STRA8
tr|E7S3F0|E7S3F0_STRA8
tr|E7S1G1|E7S1G1_STRA8
tr|E7S436|E7S436_STRA8	K00003
tr|E7S728|E7S728_STRA8
tr|E7S6H2|E7S6H2_STRA8
tr|E7S2X6|E7S2X6_STRA8	K03217
tr|E7S2H1|E7S2H1_STRA8	K03740
tr|E7S6S0|E7S6S0_STRA8	K02956
tr|E7S5U6|E7S5U6_STRA8	K00525
tr|E7S785|E7S785_STRA8	K01588
tr|E7S302|E7S302_STRA8	K01997
tr|E7S4K4|E7S4K4_STRA8	K02337
tr|E7S3P5|E7S3P5_STRA8
tr|E7S3Y6|E7S3Y6_STRA8
tr|E7S347|E7S347_STRA8
tr|E7S244|E7S244_STRA8
tr|E7S6Z6|E7S6Z6_STRA8	K01755
tr|E7S3Y8|E7S3Y8_STRA8
tr|E7S376|E7S376_STRA8
tr|E7S4D9|E7S4D9_STRA8	K02016
tr|E7S362|E7S362_STRA8	K09903
tr|E7S2W3|E7S2W3_STRA8	K07738
tr|E7S1Q6|E7S1Q6_STRA8	K03572
tr|E7S4W1|E7S4W1_STRA8	K07533
tr|E7S3H5|E7S3H5_STRA8	K03699
tr|E7S5P3|E7S5P3_STRA8
tr|E7S6Z4|E7S6Z4_STRA8	K00016
tr|E7S1W6|E7S1W6_STRA8	K02773
tr|E7S2E6|E7S2E6_STRA8	K03081
tr|E7S508|E7S508_STRA8
tr|E7S4A3|E7S4A3_STRA8	K00133
tr|E7S6V2|E7S6V2_STRA8
tr|E7S6W0|E7S6W0_STRA8	K03046
