sp|A9BNJ1|ACPS_DELAS	K00997
sp|A9BS60|PYRF_DELAS	K01591
sp|A9BN39|PYRG_DELAS	K01937
sp|A9BNL9|QUEF_DELAS	K06879
sp|A9C1Z3|RBFA_DELAS	K02834
sp|A9BQB0|RECA_DELAS	K03553
sp|A9BNJ3|RECO_DELAS	K03584
sp|A9BP60|RF1_DELAS	K02835
sp|A9BQY2|RHMD_DELAS	K12661
sp|A9BNS8|RIMM_DELAS	K02860
sp|A9BVZ2|RIMO_DELAS	K14441
sp|A9C1Z0|RIMP_DELAS	K09748
sp|A9BR96|RL10_DELAS	K02864
sp|A9BR94|RL11_DELAS	K02867
sp|A9C179|RL13_DELAS	K02871
sp|A9BRW1|RL14_DELAS	K02874
sp|A9BRX0|RL15_DELAS	K02876
sp|A9BPS5|RL16_DELAS	K02878
sp|A9BRX6|RL17_DELAS	K02879
sp|A9BRW7|RL18_DELAS	K02881
sp|A9BR95|RL1_DELAS	K02863
sp|A9C3D1|RL20_DELAS	K02887
sp|A9BP70|RL21_DELAS	K02888
sp|A9BPS3|RL22_DELAS	K02890
sp|A9BRW2|RL24_DELAS	K02895
sp|A9BP18|RL25_DELAS	K02897
sp|A9BP69|RL27_DELAS	K02899
sp|A9BNU9|RL28_DELAS	K02902
sp|A9BPS6|RL29_DELAS	K02904
sp|A9BPS1|RL2_DELAS	K02886
sp|A9BRW9|RL30_DELAS	K02907
sp|A9BNK8|RL32_DELAS	K02911
sp|A9BNV0|RL33_DELAS	K02913
sp|A9C1M4|RL34_DELAS	K02914
sp|A9C3D2|RL35_DELAS	K02916
sp|A9C021|RL36_DELAS	K02919
sp|A9BPR8|RL3_DELAS	K02906
sp|A9BPR9|RL4_DELAS	K02926
sp|A9BRW3|RL5_DELAS	K02931
sp|A9BRW6|RL6_DELAS	K02933
sp|A9BR97|RL7_DELAS	K02935
sp|A9BNG0|RL9_DELAS	K02939
sp|A9BML0|RLME_DELAS	K02427
sp|A9BWE1|RLMH_DELAS	K00783
sp|A9BMV6|RLMN_DELAS	K06941
sp|A9BNJ5|RNC_DELAS	K03685
sp|A9BML8|RNH2_DELAS	K03470
sp|A9BRX5|RPOA_DELAS	K03040
sp|A9BR98|RPOB_DELAS	K03043
sp|A9BR99|RPOC_DELAS	K03046
sp|A9BTA2|RPOZ_DELAS	K03060
sp|A9BP66|RPPH_DELAS	K08311
sp|A9BMM9|RRF_DELAS	K02838
sp|A9BPR7|RS10_DELAS	K02946
sp|A9BRX3|RS11_DELAS	K02948
sp|A9BPR3|RS12_DELAS	K02950
sp|A9BRX2|RS13_DELAS	K02952
sp|A9BRW4|RS14_DELAS	K02954
sp|A9BNB9|RS15_DELAS	K02956
sp|A9BNS9|RS16_DELAS	K02959
sp|A9BPS7|RS17_DELAS	K02961
sp|A9BNG1|RS18_DELAS	K02963
sp|A9BPS2|RS19_DELAS	K02965
sp|A9BTN3|RS21_DELAS	K02970
sp|A9BMN2|RS2_DELAS	K02967
sp|A9BRX4|RS4_DELAS	K02986
sp|A9BRW8|RS5_DELAS	K02988
sp|A9BNG3|RS6_DELAS	K02990
sp|A9BPR4|RS7_DELAS	K02992
sp|A9BRW5|RS8_DELAS	K02994
sp|A9C178|RS9_DELAS	K02996
sp|A9BUJ8|RSMH_DELAS	K03438
sp|A9BUG7|RUVA_DELAS	K03550
sp|A9BUG8|RUVB_DELAS	K03551
sp|A9BUL6|RUVC_DELAS	K01159
sp|A9C184|SAHH_DELAS	K01251
sp|A9BP81|SECA_DELAS	K03070
sp|A9BM04|SERC_DELAS	K00831
sp|A9BZW2|SMC_DELAS	K03529
sp|A9C3F6|SSUD_DELAS	K04091
sp|A9BQA5|SUCC_DELAS	K01903
sp|A9C0B9|SYA_DELAS	K01872
sp|A9BZ45|SYC_DELAS	K01883
sp|A9BP37|SYD_DELAS	K01876
sp|A9BM51|SYE_DELAS	K01885
sp|A9C3D0|SYFA_DELAS	K01889
sp|A9BXZ7|SYGA_DELAS	K01878
sp|A9BXZ8|SYGB_DELAS	K01879
sp|A9C1G8|SYL_DELAS	K01869
sp|A9BP65|SYP_DELAS	K01881
sp|A9BRF4|SYR_DELAS	K01887
sp|A9BYK5|SYS_DELAS	K01875
sp|A9C3D4|SYT_DELAS	K01868
sp|A9BXM7|TAL_DELAS	K00616
sp|A9BVK1|TAM_DELAS	K00598
sp|A9BXA7|TATA_DELAS	K03116
sp|A9BRD7|TGT_DELAS	K00773
sp|A9C1U7|TIG_DELAS	K03545
sp|A9BNB6|TPIS_DELAS	K01803
sp|A9BNH8|TRPA_DELAS	K01695
sp|A9BS06|TRPC_DELAS	K01609
sp|A9BS05|TRPD_DELAS	K00766
sp|A9BNH5|TRUA_DELAS	K06173
sp|A9BXV6|TTCA_DELAS	K14058
sp|A9BP42|UBIB_DELAS	K03688
sp|A9BWD4|UPP_DELAS	K00761
sp|A9BUC4|URE1_DELAS	K01428
sp|A9BUC7|URE3_DELAS	K01430
sp|A9BUC8|URED_DELAS	K03190
sp|A9BUC2|UREF_DELAS	K03188
sp|A9BUC1|UREG_DELAS	K03189
sp|A9BUB4|Y1172_DELAS	K07336
sp|A9BY83|Y1578_DELAS	K07735
sp|A9BYK1|Y1904_DELAS	K03630
sp|A9BWI3|Y3569_DELAS	K09791
sp|A9C2L1|Y3728_DELAS
sp|A9C0A8|Y4043_DELAS	K07146
sp|A9BM59|Y4775_DELAS	K09913
sp|A9BM65|Y4781_DELAS	K09767
sp|A9BMQ0|Y4966_DELAS	K07058
sp|A9BMR1|Y4977_DELAS
sp|A9BNL7|Y5283_DELAS	K09861
sp|A9BNV7|Y5373_DELAS	K09915
sp|A9BP06|Y5422_DELAS	K06958
sp|A9BUG5|YBEY_DELAS	K07042
sp|A9BZN0|YCIB_DELAS	K06190
tr|A9BSP9|A9BSP9_DELAS
tr|A9BTV0|A9BTV0_DELAS
tr|A9C1N0|A9C1N0_DELAS
tr|A9C1N3|A9C1N3_DELAS
tr|A9C1P3|A9C1P3_DELAS
tr|A9BT10|A9BT10_DELAS
tr|A9BTU8|A9BTU8_DELAS
tr|A9BYF0|A9BYF0_DELAS
tr|A9BYK9|A9BYK9_DELAS
tr|A9C1N5|A9C1N5_DELAS
tr|A9C1N8|A9C1N8_DELAS
tr|A9C1P4|A9C1P4_DELAS	K06908
tr|A9C1P5|A9C1P5_DELAS	K06907
tr|A9C1P7|A9C1P7_DELAS
tr|A9C1Q9|A9C1Q9_DELAS
tr|A9C1R2|A9C1R2_DELAS
tr|A9BRN3|A9BRN3_DELAS
tr|A9BT09|A9BT09_DELAS
tr|A9BW29|A9BW29_DELAS
tr|A9BW31|A9BW31_DELAS
tr|A9BW45|A9BW45_DELAS
tr|A9BYF3|A9BYF3_DELAS
tr|A9BYM2|A9BYM2_DELAS
tr|A9BYN4|A9BYN4_DELAS
tr|A9C1N1|A9C1N1_DELAS	K07154
tr|A9C1N2|A9C1N2_DELAS
tr|A9C1P1|A9C1P1_DELAS
tr|A9C1Q4|A9C1Q4_DELAS
tr|A9C1Q5|A9C1Q5_DELAS	K06903
tr|A9BSQ0|A9BSQ0_DELAS
tr|A9BW21|A9BW21_DELAS
tr|A9BW32|A9BW32_DELAS
tr|A9BYL0|A9BYL0_DELAS	K03746
tr|A9C1M9|A9C1M9_DELAS
tr|A9C1N7|A9C1N7_DELAS
tr|A9C1P0|A9C1P0_DELAS	K06906
tr|A9C1P6|A9C1P6_DELAS
tr|A9C1P8|A9C1P8_DELAS
tr|A9C1P9|A9C1P9_DELAS
tr|A9C1Q3|A9C1Q3_DELAS
tr|A9BSQ1|A9BSQ1_DELAS
tr|A9BTU7|A9BTU7_DELAS
tr|A9BW20|A9BW20_DELAS
tr|A9C1N6|A9C1N6_DELAS
tr|A9C1N9|A9C1N9_DELAS	K06905
tr|A9C1R0|A9C1R0_DELAS
tr|A9C1Q0|A9C1Q0_DELAS
tr|A9C1N4|A9C1N4_DELAS
tr|A9BTU9|A9BTU9_DELAS
tr|A9BW34|A9BW34_DELAS
tr|A9BYM3|A9BYM3_DELAS
tr|A9C1P2|A9C1P2_DELAS
tr|A9C1Q7|A9C1Q7_DELAS
tr|A9C1Q8|A9C1Q8_DELAS
tr|A9C1Q1|A9C1Q1_DELAS
tr|A9C1R1|A9C1R1_DELAS
tr|A9C1Q2|A9C1Q2_DELAS
tr|A9BPZ5|A9BPZ5_DELAS	K05597
tr|A9BMV0|A9BMV0_DELAS
tr|A9BM99|A9BM99_DELAS	K03556
tr|A9BS92|A9BS92_DELAS	K07056
tr|A9BQC6|A9BQC6_DELAS	K01424
tr|A9BSE0|A9BSE0_DELAS	K00370
tr|A9BYX7|A9BYX7_DELAS	K01749
tr|A9BZ41|A9BZ41_DELAS	K03269
tr|A9BX79|A9BX79_DELAS	K00765
tr|A9BXA3|A9BXA3_DELAS	K01523
tr|A9BP17|A9BP17_DELAS	K00948
tr|A9BP86|A9BP86_DELAS	K02470
tr|A9BUK9|A9BUK9_DELAS	K03589
tr|A9BQX1|A9BQX1_DELAS
tr|A9BWA7|A9BWA7_DELAS	K00123
tr|A9BWD9|A9BWD9_DELAS	K00228
tr|A9C1V0|A9C1V0_DELAS	K01338
tr|A9BP59|A9BP59_DELAS	K02492
tr|A9BVS9|A9BVS9_DELAS	K02227
tr|A9BWE0|A9BWE0_DELAS	K09710
tr|A9BP76|A9BP76_DELAS	K18778
tr|A9BVE0|A9BVE0_DELAS	K01556
tr|A9BZI5|A9BZI5_DELAS
tr|A9BUN2|A9BUN2_DELAS	K02687
tr|A9BUL1|A9BUL1_DELAS	K03531
tr|A9BM40|A9BM40_DELAS
tr|A9BWI0|A9BWI0_DELAS	K01424
tr|A9BMG9|A9BMG9_DELAS	K03639
tr|A9C1H2|A9C1H2_DELAS	K00215
tr|A9BYR5|A9BYR5_DELAS	K00453
tr|A9BXA9|A9BXA9_DELAS	K03118
tr|A9BSG1|A9BSG1_DELAS
tr|A9BZJ9|A9BZJ9_DELAS
tr|A9BUJ9|A9BUJ9_DELAS	K03586
tr|A9BTP0|A9BTP0_DELAS	K00372
tr|A9BVR3|A9BVR3_DELAS	K09888
tr|A9BZA0|A9BZA0_DELAS	K01772
tr|A9BXF3|A9BXF3_DELAS	K03978
tr|A9BX43|A9BX43_DELAS
tr|A9BUE8|A9BUE8_DELAS
tr|A9BYP8|A9BYP8_DELAS
tr|A9BUK5|A9BUK5_DELAS	K03588
tr|A9BV15|A9BV15_DELAS
tr|A9BUJ3|A9BUJ3_DELAS	K06204
tr|A9BXD8|A9BXD8_DELAS	K17247
tr|A9C218|A9C218_DELAS
tr|A9BNZ4|A9BNZ4_DELAS
tr|A9BWY7|A9BWY7_DELAS
tr|A9BQN6|A9BQN6_DELAS	K03610
tr|A9BLT8|A9BLT8_DELAS	K08357
tr|A9BS83|A9BS83_DELAS	K11711
tr|A9BUL7|A9BUL7_DELAS	K03814
tr|A9BNS4|A9BNS4_DELAS	K02227
tr|A9C379|A9C379_DELAS
tr|A9BX75|A9BX75_DELAS
tr|A9BVD7|A9BVD7_DELAS	K00453
tr|A9C090|A9C090_DELAS	K12410
tr|A9BRU5|A9BRU5_DELAS	K03179
tr|A9BU36|A9BU36_DELAS
tr|A9BT98|A9BT98_DELAS	K04760
tr|A9BN43|A9BN43_DELAS	K05589
tr|A9BSS6|A9BSS6_DELAS	K01679
tr|A9BUU3|A9BUU3_DELAS	K13930
tr|A9BV39|A9BV39_DELAS	K00123
tr|A9BZY5|A9BZY5_DELAS	K07320
tr|A9C0C9|A9C0C9_DELAS	K02301
tr|A9BQS2|A9BQS2_DELAS
tr|A9BPT4|A9BPT4_DELAS	K02821
tr|A9BPT5|A9BPT5_DELAS	K11189
tr|A9BPV0|A9BPV0_DELAS
tr|A9BPV5|A9BPV5_DELAS
tr|A9BPV6|A9BPV6_DELAS	K20533
tr|A9BPV8|A9BPV8_DELAS	K20531
tr|A9BPW2|A9BPW2_DELAS	K20530
tr|A9BUU4|A9BUU4_DELAS	K13934
tr|A9BUU9|A9BUU9_DELAS
tr|A9BUV0|A9BUV0_DELAS	K13928
tr|A9BUV8|A9BUV8_DELAS
tr|A9BUV9|A9BUV9_DELAS
tr|A9BUW3|A9BUW3_DELAS	K02073
tr|A9BUX0|A9BUX0_DELAS
tr|A9BUX6|A9BUX6_DELAS	K00077
tr|A9BUY1|A9BUY1_DELAS	K07263
tr|A9BUY2|A9BUY2_DELAS
tr|A9BUZ1|A9BUZ1_DELAS
tr|A9BUZ2|A9BUZ2_DELAS	K03797
tr|A9BLQ6|A9BLQ6_DELAS
tr|A9BPW3|A9BPW3_DELAS	K20529
tr|A9BPX0|A9BPX0_DELAS
tr|A9BPX9|A9BPX9_DELAS	K07644
tr|A9BPY4|A9BPY4_DELAS
tr|A9BPZ0|A9BPZ0_DELAS	K07088
tr|A9BPZ8|A9BPZ8_DELAS
tr|A9BQ03|A9BQ03_DELAS	K01999
tr|A9BQ06|A9BQ06_DELAS	K01996
tr|A9BQ10|A9BQ10_DELAS	K05712
tr|A9BQ12|A9BQ12_DELAS
tr|A9BVC6|A9BVC6_DELAS	K03517
tr|A9BVC8|A9BVC8_DELAS	K01750
tr|A9BVE6|A9BVE6_DELAS	K15578
tr|A9BVG6|A9BVG6_DELAS	K16013
tr|A9BVG9|A9BVG9_DELAS	K00426
tr|A9BVH0|A9BVH0_DELAS
tr|A9BVJ2|A9BVJ2_DELAS
tr|A9BVK3|A9BVK3_DELAS
tr|A9BVK6|A9BVK6_DELAS
tr|A9BVL4|A9BVL4_DELAS
tr|A9BVL8|A9BVL8_DELAS
tr|A9BVM4|A9BVM4_DELAS	K16091
tr|A9BVM6|A9BVM6_DELAS
tr|A9BVN3|A9BVN3_DELAS	K03560
tr|A9BVN8|A9BVN8_DELAS	K00794
tr|A9BVP1|A9BVP1_DELAS
tr|A9BZL7|A9BZL7_DELAS
tr|A9BZM5|A9BZM5_DELAS
tr|A9BZM9|A9BZM9_DELAS	K05527
tr|A9BZP4|A9BZP4_DELAS	K00626
tr|A9BZP6|A9BZP6_DELAS
tr|A9BZQ0|A9BZQ0_DELAS
tr|A9BZR2|A9BZR2_DELAS
tr|A9BZR6|A9BZR6_DELAS	K02042
tr|A9BZS0|A9BZS0_DELAS
tr|A9BZS6|A9BZS6_DELAS	K00101
tr|A9BZS8|A9BZS8_DELAS
tr|A9BZU3|A9BZU3_DELAS
tr|A9BZU9|A9BZU9_DELAS	K18139
tr|A9BZW7|A9BZW7_DELAS
tr|A9BZW8|A9BZW8_DELAS	K16165
tr|A9BZX1|A9BZX1_DELAS
tr|A9BZZ2|A9BZZ2_DELAS	K05973
tr|A9C003|A9C003_DELAS
tr|A9C006|A9C006_DELAS
tr|A9C007|A9C007_DELAS
tr|A9C018|A9C018_DELAS	K09823
tr|A9C022|A9C022_DELAS
tr|A9C028|A9C028_DELAS
tr|A9C031|A9C031_DELAS	K00031
tr|A9C032|A9C032_DELAS
tr|A9C034|A9C034_DELAS	K06985
tr|A9C036|A9C036_DELAS	K06917
tr|A9C045|A9C045_DELAS
tr|A9C049|A9C049_DELAS
tr|A9C051|A9C051_DELAS
tr|A9C052|A9C052_DELAS
tr|A9C060|A9C060_DELAS	K00020
tr|A9C068|A9C068_DELAS
tr|A9C0A6|A9C0A6_DELAS
tr|A9C0B1|A9C0B1_DELAS	K06911
tr|A9C0C0|A9C0C0_DELAS
tr|A9C0C6|A9C0C6_DELAS	K14998
tr|A9C0C7|A9C0C7_DELAS	K15011
tr|A9C0D5|A9C0D5_DELAS
tr|A9C0D8|A9C0D8_DELAS
tr|A9C0E3|A9C0E3_DELAS
tr|A9C0E5|A9C0E5_DELAS
tr|A9C0E7|A9C0E7_DELAS
tr|A9C0F8|A9C0F8_DELAS
tr|A9C0G0|A9C0G0_DELAS
tr|A9C0G3|A9C0G3_DELAS	K09961
tr|A9C0G6|A9C0G6_DELAS
tr|A9C0I2|A9C0I2_DELAS
tr|A9C0I3|A9C0I3_DELAS	K02035
tr|A9C0I6|A9C0I6_DELAS
tr|A9C0J6|A9C0J6_DELAS	K02624
tr|A9C0K6|A9C0K6_DELAS	K10220
tr|A9C0K7|A9C0K7_DELAS	K08195
tr|A9C0Z1|A9C0Z1_DELAS
tr|A9C0Z7|A9C0Z7_DELAS
tr|A9C100|A9C100_DELAS
tr|A9C103|A9C103_DELAS
tr|A9C105|A9C105_DELAS	K13979
tr|A9C108|A9C108_DELAS	K02228
tr|A9C119|A9C119_DELAS	K03805
tr|A9C122|A9C122_DELAS	K18296
tr|A9BLM8|A9BLM8_DELAS	K02018
tr|A9BLM9|A9BLM9_DELAS	K02020
tr|A9BLN5|A9BLN5_DELAS	K10680
tr|A9BLN6|A9BLN6_DELAS
tr|A9BLN7|A9BLN7_DELAS
tr|A9BLP9|A9BLP9_DELAS
tr|A9BLQ8|A9BLQ8_DELAS
tr|A9BLR5|A9BLR5_DELAS
tr|A9BLT7|A9BLT7_DELAS	K08359
tr|A9BLY9|A9BLY9_DELAS
tr|A9BLZ4|A9BLZ4_DELAS
tr|A9BLZ6|A9BLZ6_DELAS
tr|A9BLZ9|A9BLZ9_DELAS
tr|A9BM00|A9BM00_DELAS	K01091
tr|A9BM01|A9BM01_DELAS	K00568
tr|A9BM05|A9BM05_DELAS	K14170
tr|A9BM08|A9BM08_DELAS	K02945
tr|A9BM12|A9BM12_DELAS	K02237
tr|A9BM21|A9BM21_DELAS	K09760
tr|A9BM25|A9BM25_DELAS	K07107
tr|A9BM26|A9BM26_DELAS
tr|A9BM28|A9BM28_DELAS
tr|A9BM31|A9BM31_DELAS	K01066
tr|A9BM33|A9BM33_DELAS	K10531
tr|A9BM39|A9BM39_DELAS
tr|A9BM50|A9BM50_DELAS
tr|A9BM93|A9BM93_DELAS	K11991
tr|A9BMB5|A9BMB5_DELAS
tr|A9BMB9|A9BMB9_DELAS
tr|A9BMC1|A9BMC1_DELAS	K00799
tr|A9BMC8|A9BMC8_DELAS
tr|A9BMD5|A9BMD5_DELAS	K01952
tr|A9BMD6|A9BMD6_DELAS	K01265
tr|A9BMD9|A9BMD9_DELAS	K01462
tr|A9BME2|A9BME2_DELAS	K00684
tr|A9BMF3|A9BMF3_DELAS
tr|A9BMF4|A9BMF4_DELAS
tr|A9BMF8|A9BMF8_DELAS	K04751
tr|A9BMG0|A9BMG0_DELAS	K09919
tr|A9BMG4|A9BMG4_DELAS
tr|A9BMH2|A9BMH2_DELAS	K03671
tr|A9BMH4|A9BMH4_DELAS
tr|A9BMI7|A9BMI7_DELAS	K02343
tr|A9BMJ1|A9BMJ1_DELAS
tr|A9BMK0|A9BMK0_DELAS	K02038
tr|A9BMM7|A9BMM7_DELAS	K00981
tr|A9BMN8|A9BMN8_DELAS
tr|A9BMN9|A9BMN9_DELAS	K00600
tr|A9BMP7|A9BMP7_DELAS
tr|A9BMQ5|A9BMQ5_DELAS	K00287
tr|A9BMS0|A9BMS0_DELAS
tr|A9BMS8|A9BMS8_DELAS
tr|A9BMS9|A9BMS9_DELAS	K01485
tr|A9BMT4|A9BMT4_DELAS	K07708
tr|A9BMU5|A9BMU5_DELAS	K04087
tr|A9BMU7|A9BMU7_DELAS	K03665
tr|A9BMV3|A9BMV3_DELAS	K03526
tr|A9BMV8|A9BMV8_DELAS	K06178
tr|A9BMW4|A9BMW4_DELAS	K00344
tr|A9BMW5|A9BMW5_DELAS	K13590
tr|A9BMX2|A9BMX2_DELAS	K03297
tr|A9BMX4|A9BMX4_DELAS
tr|A9BMX9|A9BMX9_DELAS	K03086
tr|A9BMY3|A9BMY3_DELAS	K00823
tr|A9BMZ8|A9BMZ8_DELAS	K01007
tr|A9BN47|A9BN47_DELAS
tr|A9BNA6|A9BNA6_DELAS	K00338
tr|A9BPD9|A9BPD9_DELAS
tr|A9C124|A9C124_DELAS	K18294
tr|A9C136|A9C136_DELAS
tr|A9C139|A9C139_DELAS
tr|A9C146|A9C146_DELAS
tr|A9C152|A9C152_DELAS
tr|A9C154|A9C154_DELAS
tr|A9C155|A9C155_DELAS	K03088
tr|A9C158|A9C158_DELAS	K03088
tr|A9C159|A9C159_DELAS	K07165
tr|A9C160|A9C160_DELAS	K02014
tr|A9C168|A9C168_DELAS	K04042
tr|A9C170|A9C170_DELAS	K01866
tr|A9BPF6|A9BPF6_DELAS
tr|A9BPH2|A9BPH2_DELAS
tr|A9BPH3|A9BPH3_DELAS	K15866
tr|A9BPH6|A9BPH6_DELAS	K09709
tr|A9BPI0|A9BPI0_DELAS
tr|A9BPI9|A9BPI9_DELAS
tr|A9BPJ3|A9BPJ3_DELAS
tr|A9BPJ4|A9BPJ4_DELAS
tr|A9BPK9|A9BPK9_DELAS	K02030
tr|A9BPL0|A9BPL0_DELAS
tr|A9BPL5|A9BPL5_DELAS
tr|A9BPL8|A9BPL8_DELAS	K01438
tr|A9BPL9|A9BPL9_DELAS	K06193
tr|A9BPM3|A9BPM3_DELAS	K06518
tr|A9BPM7|A9BPM7_DELAS	K01706
tr|A9BPN5|A9BPN5_DELAS
tr|A9BPP8|A9BPP8_DELAS
tr|A9BQ29|A9BQ29_DELAS	K02404
tr|A9BQ41|A9BQ41_DELAS
tr|A9BLF4|A9BLF4_DELAS
tr|A9BLF6|A9BLF6_DELAS
tr|A9BLF8|A9BLF8_DELAS
tr|A9BLG5|A9BLG5_DELAS
tr|A9BLH1|A9BLH1_DELAS
tr|A9BLH5|A9BLH5_DELAS	K03412
tr|A9BLI4|A9BLI4_DELAS
tr|A9BLI8|A9BLI8_DELAS	K20074
tr|A9BLJ1|A9BLJ1_DELAS	K11892
tr|A9BLJ4|A9BLJ4_DELAS	K11902
tr|A9BLJ9|A9BLJ9_DELAS
tr|A9BLK0|A9BLK0_DELAS
tr|A9BLK9|A9BLK9_DELAS
tr|A9BLL3|A9BLL3_DELAS
tr|A9BLL6|A9BLL6_DELAS
tr|A9BLR6|A9BLR6_DELAS	K07050
tr|A9BLR7|A9BLR7_DELAS
tr|A9BLR9|A9BLR9_DELAS
tr|A9BLS3|A9BLS3_DELAS
tr|A9BLS5|A9BLS5_DELAS
tr|A9BLS8|A9BLS8_DELAS	K19713
